site_id,domain,rank,tier,target_year,target_from,target_to,timestamp,original,status_code,mime_type,snapshot_url,downloaded,local_path,error_message
S000103,hotpepper.jp,1213,Tier2,2022,20220601,20220831,20220623101858,https://www.hotpepper.jp/,200,text/html,https://web.archive.org/web/20220623101858/https://www.hotpepper.jp/,1,dataset\raw\wayback\2022\S000103.html,
S000103,hotpepper.jp,1213,Tier2,2024,20240601,20240831,20240716200105,https://www.hotpepper.jp/,200,text/html,https://web.archive.org/web/20240716200105/https://www.hotpepper.jp/,1,dataset\raw\wayback\2024\S000103.html,
S000103,hotpepper.jp,1213,Tier2,2026,20260601,20260714,20260708153611,https://www.hotpepper.jp/,200,text/html,https://web.archive.org/web/20260708153611/https://www.hotpepper.jp/,1,dataset\raw\wayback\2026\S000103.html,
S000104,gazzetta.it,1233,Tier2,2022,20220601,20220831,20220715122224,https://www.gazzetta.it/,200,text/html,https://web.archive.org/web/20220715122224/https://www.gazzetta.it/,1,dataset\raw\wayback\2022\S000104.html,
S000104,gazzetta.it,1233,Tier2,2024,20240601,20240831,20240715113840,https://www.gazzetta.it/,200,text/html,https://web.archive.org/web/20240715113840/https://www.gazzetta.it/,1,dataset\raw\wayback\2024\S000104.html,
S000104,gazzetta.it,1233,Tier2,2026,20260601,20260714,20260713161748,https://www.gazzetta.it/,200,text/html,https://web.archive.org/web/20260713161748/https://www.gazzetta.it/,1,dataset\raw\wayback\2026\S000104.html,
S000105,neal.fun,1472,Tier2,2022,20220601,20220831,20220715220309,https://neal.fun/,200,text/html,https://web.archive.org/web/20220715220309/https://neal.fun/,1,dataset\raw\wayback\2022\S000105.html,
S000105,neal.fun,1472,Tier2,2024,20240601,20240831,20240715164746,https://neal.fun/,200,text/html,https://web.archive.org/web/20240715164746/https://neal.fun/,1,dataset\raw\wayback\2024\S000105.html,
S000105,neal.fun,1472,Tier2,2026,20260601,20260714,20260714024505,https://neal.fun/,200,text/html,https://web.archive.org/web/20260714024505/https://neal.fun/,1,dataset\raw\wayback\2026\S000105.html,
S000106,arca.live,1513,Tier2,2022,20220601,20220831,20220715104938,https://arca.live/,200,text/html,https://web.archive.org/web/20220715104938/https://arca.live/,1,dataset\raw\wayback\2022\S000106.html,
S000106,arca.live,1513,Tier2,2024,20240601,20240831,20240714224327,https://arca.live/,200,text/html,https://web.archive.org/web/20240714224327/https://arca.live/,1,dataset\raw\wayback\2024\S000106.html,
S000106,arca.live,1513,Tier2,2026,20260601,20260714,20260709032434,https://arca.live/,200,text/html,https://web.archive.org/web/20260709032434/https://arca.live/,1,dataset\raw\wayback\2026\S000106.html,
S000107,ak2yy.com,1611,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000107,ak2yy.com,1611,Tier2,2024,20240601,20240831,20240822210412,http://ak2yy.com/,200,text/html,https://web.archive.org/web/20240822210412/http://ak2yy.com/,0,,invalid_html
S000107,ak2yy.com,1611,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000108,okxxx1.com,1634,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000108,okxxx1.com,1634,Tier2,2024,20240601,20240831,20240711135513,https://okxxx1.com/,200,text/html,https://web.archive.org/web/20240711135513/https://okxxx1.com/,1,dataset\raw\wayback\2024\S000108.html,
S000108,okxxx1.com,1634,Tier2,2026,20260501,20260714,20260515095906,https://okxxx1.com/,200,text/html,https://web.archive.org/web/20260515095906/https://okxxx1.com/,1,dataset\raw\wayback\2026\S000108.html,
S000109,triunfobet.com,1753,Tier2,2022,20220601,20220831,20220708093046,https://triunfobet.com/,200,text/html,https://web.archive.org/web/20220708093046/https://triunfobet.com/,1,dataset\raw\wayback\2022\S000109.html,
S000109,triunfobet.com,1753,Tier2,2024,20240601,20240831,20240723025235,https://triunfobet.com,200,text/html,https://web.archive.org/web/20240723025235/https://triunfobet.com,1,dataset\raw\wayback\2024\S000109.html,
S000109,triunfobet.com,1753,Tier2,2026,20260601,20260714,20260709063951,https://triunfobet.com/,200,text/html,https://web.archive.org/web/20260709063951/https://triunfobet.com/,1,dataset\raw\wayback\2026\S000109.html,
S000110,sky.com,1968,Tier2,2022,20220601,20220831,20220715123141,https://www.sky.com/,200,text/html,https://web.archive.org/web/20220715123141/https://www.sky.com/,1,dataset\raw\wayback\2022\S000110.html,
S000110,sky.com,1968,Tier2,2024,20240601,20240831,20240715115907,https://www.sky.com/,200,text/html,https://web.archive.org/web/20240715115907/https://www.sky.com/,1,dataset\raw\wayback\2024\S000110.html,
S000110,sky.com,1968,Tier2,2026,20260601,20260714,20260711235747,https://www.sky.com/,200,text/html,https://web.archive.org/web/20260711235747/https://www.sky.com/,1,dataset\raw\wayback\2026\S000110.html,
S000111,cctv.com,2277,Tier2,2022,20220601,20220831,20220715123108,https://www.cctv.com/,200,text/html,https://web.archive.org/web/20220715123108/https://www.cctv.com/,1,dataset\raw\wayback\2022\S000111.html,
S000111,cctv.com,2277,Tier2,2024,20240601,20240831,20240715115406,https://www.cctv.com/,200,text/html,https://web.archive.org/web/20240715115406/https://www.cctv.com/,1,dataset\raw\wayback\2024\S000111.html,
S000111,cctv.com,2277,Tier2,2026,20260601,20260714,20260713232142,https://www.cctv.com/,200,text/html,https://web.archive.org/web/20260713232142/https://www.cctv.com/,1,dataset\raw\wayback\2026\S000111.html,
S000112,pcmag.com,2379,Tier2,2022,20220601,20220831,20220715120504,https://www.pcmag.com/,200,text/html,https://web.archive.org/web/20220715120504/https://www.pcmag.com/,1,dataset\raw\wayback\2022\S000112.html,
S000112,pcmag.com,2379,Tier2,2024,20240601,20240831,20240715123004,https://www.pcmag.com/,200,text/html,https://web.archive.org/web/20240715123004/https://www.pcmag.com/,1,dataset\raw\wayback\2024\S000112.html,
S000112,pcmag.com,2379,Tier2,2026,20260601,20260714,20260713043030,https://www.pcmag.com/,200,text/html,https://web.archive.org/web/20260713043030/https://www.pcmag.com/,1,dataset\raw\wayback\2026\S000112.html,
S000113,match.com,2625,Tier2,2022,20220601,20220831,20220715130721,https://www.match.com/,200,text/html,https://web.archive.org/web/20220715130721/https://www.match.com/,1,dataset\raw\wayback\2022\S000113.html,
S000113,match.com,2625,Tier2,2024,20240601,20240831,20240715104504,https://www.match.com/,200,text/html,https://web.archive.org/web/20240715104504/https://www.match.com/,1,dataset\raw\wayback\2024\S000113.html,
S000113,match.com,2625,Tier2,2026,20260601,20260714,20260708051730,https://www.match.com/,200,text/html,https://web.archive.org/web/20260708051730/https://www.match.com/,1,dataset\raw\wayback\2026\S000113.html,
S000114,qunar.com,3059,Tier2,2022,20220601,20220831,20220715200101,https://www.qunar.com/,200,text/html,https://web.archive.org/web/20220715200101/https://www.qunar.com/,1,dataset\raw\wayback\2022\S000114.html,
S000114,qunar.com,3059,Tier2,2024,20240601,20240831,20240715212046,https://www.qunar.com/,200,text/html,https://web.archive.org/web/20240715212046/https://www.qunar.com/,1,dataset\raw\wayback\2024\S000114.html,
S000114,qunar.com,3059,Tier2,2026,20260601,20260714,20260602165314,https://www.qunar.com/,200,text/html,https://web.archive.org/web/20260602165314/https://www.qunar.com/,1,dataset\raw\wayback\2026\S000114.html,
S000115,iz.ru,3104,Tier2,2022,20220601,20220831,20220715120137,https://iz.ru/,200,text/html,https://web.archive.org/web/20220715120137/https://iz.ru/,1,dataset\raw\wayback\2022\S000115.html,
S000115,iz.ru,3104,Tier2,2024,20240601,20240831,20240715115512,https://iz.ru/,200,text/html,https://web.archive.org/web/20240715115512/https://iz.ru/,1,dataset\raw\wayback\2024\S000115.html,
S000115,iz.ru,3104,Tier2,2026,20260601,20260714,20260702023021,https://iz.ru/,200,text/html,https://web.archive.org/web/20260702023021/https://iz.ru/,1,dataset\raw\wayback\2026\S000115.html,
S000116,macys.com,3362,Tier2,2022,20220601,20220831,20220715124036,https://www.macys.com/,200,text/html,https://web.archive.org/web/20220715124036/https://www.macys.com/,1,dataset\raw\wayback\2022\S000116.html,
S000116,macys.com,3362,Tier2,2024,20240601,20240831,20240715111033,https://www.macys.com/,200,text/html,https://web.archive.org/web/20240715111033/https://www.macys.com/,1,dataset\raw\wayback\2024\S000116.html,
S000116,macys.com,3362,Tier2,2026,20260601,20260714,20260616073439,https://www.macys.com/,200,text/html,https://web.archive.org/web/20260616073439/https://www.macys.com/,1,dataset\raw\wayback\2026\S000116.html,
S000117,cia.gov,3605,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000117,cia.gov,3605,Tier2,2024,20240601,20240831,20240715015256,https://www.cia.gov/,200,text/html,https://web.archive.org/web/20240715015256/https://www.cia.gov/,1,dataset\raw\wayback\2024\S000117.html,
S000117,cia.gov,3605,Tier2,2026,20260601,20260714,20260709041310,https://www.cia.gov/,200,text/html,https://web.archive.org/web/20260709041310/https://www.cia.gov/,1,dataset\raw\wayback\2026\S000117.html,
S000118,google.co.kr,3615,Tier2,2022,20220601,20220831,20220715062001,http://www.google.co.kr/,200,text/html,https://web.archive.org/web/20220715062001/http://www.google.co.kr/,1,dataset\raw\wayback\2022\S000118.html,
S000118,google.co.kr,3615,Tier2,2024,20240601,20240831,20240715115517,http://www.google.co.kr/,200,text/html,https://web.archive.org/web/20240715115517/http://www.google.co.kr/,1,dataset\raw\wayback\2024\S000118.html,
S000118,google.co.kr,3615,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000119,chrome.com,3742,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000119,chrome.com,3742,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000119,chrome.com,3742,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000120,google.co.nz,3890,Tier2,2022,20220601,20220831,20220715130149,http://www.google.co.nz/,200,text/html,https://web.archive.org/web/20220715130149/http://www.google.co.nz/,1,dataset\raw\wayback\2022\S000120.html,
S000120,google.co.nz,3890,Tier2,2024,20240601,20240831,20240715115517,http://www.google.co.nz/,200,text/html,https://web.archive.org/web/20240715115517/http://www.google.co.nz/,1,dataset\raw\wayback\2024\S000120.html,
S000120,google.co.nz,3890,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000121,proxmox.com,4088,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000121,proxmox.com,4088,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000121,proxmox.com,4088,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000122,hubspotusercontent-na1.net,4287,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000122,hubspotusercontent-na1.net,4287,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000122,hubspotusercontent-na1.net,4287,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000123,ivideon.com,4316,Tier2,2022,20220601,20220831,20220713193620,https://www.ivideon.com/,200,text/html,https://web.archive.org/web/20220713193620/https://www.ivideon.com/,1,dataset\raw\wayback\2022\S000123.html,
S000123,ivideon.com,4316,Tier2,2024,20240601,20240831,20240715111952,https://www.ivideon.com./,200,text/html,https://web.archive.org/web/20240715111952/https://www.ivideon.com./,1,dataset\raw\wayback\2024\S000123.html,
S000123,ivideon.com,4316,Tier2,2026,20260601,20260714,20260620055600,https://www.ivideon.com/,200,text/html,https://web.archive.org/web/20260620055600/https://www.ivideon.com/,1,dataset\raw\wayback\2026\S000123.html,
S000124,fitbit.com,4330,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000124,fitbit.com,4330,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000124,fitbit.com,4330,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000125,capcutapi.us,4551,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000125,capcutapi.us,4551,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000125,capcutapi.us,4551,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000126,samsung-gamelauncher.com,4666,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000126,samsung-gamelauncher.com,4666,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000126,samsung-gamelauncher.com,4666,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000127,ecombdapi.com,4728,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000127,ecombdapi.com,4728,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000127,ecombdapi.com,4728,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000128,iranlms.ir,4747,Tier2,2022,20220601,20220831,20220809230138,http://iranlms.ir/,200,text/html,https://web.archive.org/web/20220809230138/http://iranlms.ir/,1,dataset\raw\wayback\2022\S000128.html,
S000128,iranlms.ir,4747,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000128,iranlms.ir,4747,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000129,manutouch.com.cn,4797,Tier2,2022,20220501,20220930,20220501170409,https://www.manutouch.com.cn/,200,text/html,https://web.archive.org/web/20220501170409/https://www.manutouch.com.cn/,1,dataset\raw\wayback\2022\S000129.html,
S000129,manutouch.com.cn,4797,Tier2,2024,20240601,20240831,20240831093222,https://www.manutouch.com.cn/,200,text/html,https://web.archive.org/web/20240831093222/https://www.manutouch.com.cn/,1,dataset\raw\wayback\2024\S000129.html,
S000129,manutouch.com.cn,4797,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000130,kommersant.ru,4833,Tier2,2022,20220601,20220831,20220715122729,https://www.kommersant.ru:443/,200,text/html,https://web.archive.org/web/20220715122729/https://www.kommersant.ru:443/,1,dataset\raw\wayback\2022\S000130.html,
S000130,kommersant.ru,4833,Tier2,2024,20240601,20240831,20240715122436,https://www.kommersant.ru/,200,text/html,https://web.archive.org/web/20240715122436/https://www.kommersant.ru/,1,dataset\raw\wayback\2024\S000130.html,
S000130,kommersant.ru,4833,Tier2,2026,20260601,20260714,20260708054052,https://www.kommersant.ru/,200,text/html,https://web.archive.org/web/20260708054052/https://www.kommersant.ru/,1,dataset\raw\wayback\2026\S000130.html,
S000131,campaign-archive.com,4843,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000131,campaign-archive.com,4843,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000131,campaign-archive.com,4843,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000132,softpedia.com,4859,Tier2,2022,20220601,20220831,20220715163205,https://www.softpedia.com/,200,text/html,https://web.archive.org/web/20220715163205/https://www.softpedia.com/,1,dataset\raw\wayback\2022\S000132.html,
S000132,softpedia.com,4859,Tier2,2024,20240601,20240831,20240715111033,https://www.softpedia.com/,200,text/html,https://web.archive.org/web/20240715111033/https://www.softpedia.com/,1,dataset\raw\wayback\2024\S000132.html,
S000132,softpedia.com,4859,Tier2,2026,20260601,20260714,20260709202709,https://www.softpedia.com/,200,text/html,https://web.archive.org/web/20260709202709/https://www.softpedia.com/,1,dataset\raw\wayback\2026\S000132.html,
S000133,emirates.com,4973,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000133,emirates.com,4973,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000133,emirates.com,4973,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000134,mx-ns.mx,4995,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000134,mx-ns.mx,4995,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000134,mx-ns.mx,4995,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000135,mobileiron.com,5164,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000135,mobileiron.com,5164,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000135,mobileiron.com,5164,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000136,controld.com,5197,Tier2,2022,20220601,20220831,20220722004754,https://controld.com/,200,text/html,https://web.archive.org/web/20220722004754/https://controld.com/,1,dataset\raw\wayback\2022\S000136.html,
S000136,controld.com,5197,Tier2,2024,20240601,20240831,20240717024848,https://controld.com/,200,text/html,https://web.archive.org/web/20240717024848/https://controld.com/,1,dataset\raw\wayback\2024\S000136.html,
S000136,controld.com,5197,Tier2,2026,20260601,20260714,20260704054322,https://controld.com/,200,text/html,https://web.archive.org/web/20260704054322/https://controld.com/,1,dataset\raw\wayback\2026\S000136.html,
S000137,missouri.edu,5338,Tier2,2022,20220601,20220831,20220718094645,https://missouri.edu/,200,text/html,https://web.archive.org/web/20220718094645/https://missouri.edu/,1,dataset\raw\wayback\2022\S000137.html,
S000137,missouri.edu,5338,Tier2,2024,20240601,20240831,20240715185839,https://tippettmosbyl@missouri.edu/,200,text/html,https://web.archive.org/web/20240715185839/https://tippettmosbyl@missouri.edu/,1,dataset\raw\wayback\2024\S000137.html,
S000137,missouri.edu,5338,Tier2,2026,20260601,20260714,20260710120954,https://missouri.edu/,200,text/html,https://web.archive.org/web/20260710120954/https://missouri.edu/,1,dataset\raw\wayback\2026\S000137.html,
S000138,mavrtracktor.com,5418,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000138,mavrtracktor.com,5418,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000138,mavrtracktor.com,5418,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000139,sberbank-tele.com,5454,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000139,sberbank-tele.com,5454,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000139,sberbank-tele.com,5454,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000140,hiddenvpn.ru,5491,Tier2,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000140,hiddenvpn.ru,5491,Tier2,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000140,hiddenvpn.ru,5491,Tier2,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000501,btn.co.id,50426,Tier3,2022,20220601,20220831,20220712055111,https://www.btn.co.id/,200,text/html,https://web.archive.org/web/20220712055111/https://www.btn.co.id/,1,dataset\raw\wayback\2022\S000501.html,
S000501,btn.co.id,50426,Tier3,2024,20240601,20240831,20240716033451,https://www.btn.co.id/,200,text/html,https://web.archive.org/web/20240716033451/https://www.btn.co.id/,1,dataset\raw\wayback\2024\S000501.html,
S000501,btn.co.id,50426,Tier3,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000502,wjgnet.com,51774,Tier3,2022,20220601,20220831,20220715080656,https://wjgnet.com/,200,text/html,https://web.archive.org/web/20220715080656/https://wjgnet.com/,1,dataset\raw\wayback\2022\S000502.html,
S000502,wjgnet.com,51774,Tier3,2024,20240601,20240831,20240715122806,https://www.wjgnet.com/,200,text/html,https://web.archive.org/web/20240715122806/https://www.wjgnet.com/,1,dataset\raw\wayback\2024\S000502.html,
S000502,wjgnet.com,51774,Tier3,2026,20260601,20260714,20260711024336,https://www.wjgnet.com/,200,text/html,https://web.archive.org/web/20260711024336/https://www.wjgnet.com/,1,dataset\raw\wayback\2026\S000502.html,
S000503,lingxiuyun.net,55815,Tier3,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000503,lingxiuyun.net,55815,Tier3,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000503,lingxiuyun.net,55815,Tier3,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000504,tendacn.com,56183,Tier3,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000504,tendacn.com,56183,Tier3,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000504,tendacn.com,56183,Tier3,2026,20260601,20260714,20260709131435,https://www.tendacn.com/,200,text/html,https://web.archive.org/web/20260709131435/https://www.tendacn.com/,1,dataset\raw\wayback\2026\S000504.html,
S000505,hubinternational.com,60645,Tier3,2022,20220601,20220831,20220717114349,https://www.hubinternational.com/,200,text/html,https://web.archive.org/web/20220717114349/https://www.hubinternational.com/,1,dataset\raw\wayback\2022\S000505.html,
S000505,hubinternational.com,60645,Tier3,2024,20240601,20240831,20240716195629,https://www.hubinternational.com/,200,text/html,https://web.archive.org/web/20240716195629/https://www.hubinternational.com/,1,dataset\raw\wayback\2024\S000505.html,
S000505,hubinternational.com,60645,Tier3,2026,20260601,20260714,20260701122210,https://www.hubinternational.com/,200,text/html,https://web.archive.org/web/20260701122210/https://www.hubinternational.com/,1,dataset\raw\wayback\2026\S000505.html,
S000506,isp.hu,63267,Tier3,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000506,isp.hu,63267,Tier3,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000506,isp.hu,63267,Tier3,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000507,karmasearch.org,70325,Tier3,2022,20220601,20220831,20220707111119,https://karmasearch.org/,200,text/html,https://web.archive.org/web/20220707111119/https://karmasearch.org/,1,dataset\raw\wayback\2022\S000507.html,
S000507,karmasearch.org,70325,Tier3,2024,20240601,20240831,20240715024624,https://karmasearch.org/,200,text/html,https://web.archive.org/web/20240715024624/https://karmasearch.org/,1,dataset\raw\wayback\2024\S000507.html,
S000507,karmasearch.org,70325,Tier3,2026,20260601,20260714,20260705052214,https://karmasearch.org/,200,text/html,https://web.archive.org/web/20260705052214/https://karmasearch.org/,1,dataset\raw\wayback\2026\S000507.html,
S000508,cafepress.com.au,70481,Tier3,2022,20220601,20220831,20220715115409,https://www.cafepress.com.au/,200,text/html,https://web.archive.org/web/20220715115409/https://www.cafepress.com.au/,1,dataset\raw\wayback\2022\S000508.html,
S000508,cafepress.com.au,70481,Tier3,2024,20240601,20240831,20240715091458,https://www.cafepress.com.au/,200,text/html,https://web.archive.org/web/20240715091458/https://www.cafepress.com.au/,1,dataset\raw\wayback\2024\S000508.html,
S000508,cafepress.com.au,70481,Tier3,2026,20260601,20260714,20260712011543,https://www.cafepress.com.au/,200,text/html,https://web.archive.org/web/20260712011543/https://www.cafepress.com.au/,1,dataset\raw\wayback\2026\S000508.html,
S000509,atlantamagazine.com,71370,Tier3,2022,20220601,20220831,20220715014901,https://www.atlantamagazine.com/,200,text/html,https://web.archive.org/web/20220715014901/https://www.atlantamagazine.com/,1,dataset\raw\wayback\2022\S000509.html,
